Index	Hemisphere	Lobe	Code	FullName	Label	BA
1	L	Occipital	VCcm	CaudalMedialVisualCortex	VCcm_L	17/18
2	L	Occipital	VCl	LateralVisualCortex	VCl_L	37/19/18
3	L	Occipital	VCs	SuperiorVisualCortex	VCs_L	19/39
4	L	Occipital	Cu	Cuneus	Cu_L	18/19
5	L	Occipital	VCrm	RostralMedialVisualCortex	VCrm_L	18/19
6	L	Temporal	ITCm	MedialInferiorTemporalCortex	ITCm_L	36/37/20
7	L	Temporal	ITCr	RostralInferiorTemporalCortex	ITCr_L	20
8	L	Temporal	MTCc	CaudalMiddleTemporalCortex	MTCc_L	21/22/39
9	L	Temporal	STCc	CaudalSuperiorTemporalCortex	STCc_L	22/41/42
10	L	Temporal	STCr	RostralSuperiorTemporalCortex	STCr_L	21/22/38
11	L	Temporal	MTCr	RostralMiddleTemporalCortex	MTCr_L	20/21/38
12	L	Parietal	ICC	IsthmusCingulateCortex	ICC_L	30
13	L	Parietal	IPCv	VentralInferiorParietalCortex	IPCv_L	40
14	L	Parietal	IPCd	DorsalInferiorParietalCortex	IPCd_L	39/40/7
15	L	Parietal	SPC	SuperiorParietalCortex	SPC_L	7
16	L	Parietal	SPCm	MedialSuperiorParietalCortex	SPCm_L	7
17	L	Parietal	PCm	MedialParietalCortex	PCm_L	31
18	L	Parietal	PCC	PosteriorCingulateCortex	PCC_L	23
19	L	Parietal	Sv	VentralSomatosensoryCortex	Sv_L	1/2/3
20	L	Parietal	Sdl	DorsolateralSomatosensoryCortex	Sdl_L	1/2/3
21	L	Parietal	Sdm	DorsomedialSomatosensoryCortex	Sdm_L	1/2/3/5/31
22	L	Frontal	Mv	VentralMotorCortex	Mv_L	4/6
23	L	Frontal	Mdl	DorsolateralMotorCortex	Mdl_L	4
24	L	Frontal	Mdm	DorsomedialMotorCortex	Mdm_L	4
25	L	Frontal	PMrv	RostralVentralPremotorCortex	PMrv_L	44/45
26	L	Frontal	PMdl	DorsolateralPremotorCortex	PMdl_L	6/8
27	L	Frontal	PMdm	DorsomedialPremotorCortex	PMdm_L	6
28	L	Frontal	PFcdl	CaudalDorsolateralPrefrontalCortex	PFcdl_L	45/46/9
29	L	Frontal	PFcdm	CaudalDorsomedialPrefrontalCortex	PFcdm_L	6/8
30	L	Frontal	MCC	MidCingulateCortex	MCC_L	24
31	L	Frontal	PFrvl	RostralVentrolateralPrefrontalCortex	PFrvl_L	47/45
32	L	Frontal	Pfrdli	RostralDorsolateralInferiorPrefrontalCortex	Pfrdli_L	10/46
33	L	Frontal	Pfrdls	RostralDorsolateralSuperiorPrefrontalCortex	Pfrdls_L	10/9
34	L	Frontal	PFrd	RostralDorsalPrefrontalCortex	PFrd_L	10/9/8
35	L	Frontal	PFrm	RostralMedialPrefrontalCortex	PFrm_L	9/8
36	L	Frontal	OFCvl	VentrolateralOrbitoFrontalCortex	OFCvl_L	11/47
37	L	Frontal	OFCv	VentralOrbitoFrontalCortex	OFCv_L	11/47
38	L	Frontal	OFCvm	VentromedialOrbitoFrontalCortex	OFCvm_L	10/11
39	L	Frontal	PFCvm	VentromedialPrefrontalCortex	PFCvm_L	32/10/11
40	L	Frontal	ACC	AnteriorCingulateCortex	ACC_L	24/32
41	L	Frontal	Insula	InsularCortex	Insula_L	13
101	R	Occipital	VCcm	CaudalMedialVisualCortex	VCcm_R	17/18
102	R	Occipital	VCl	LateralVisualCortex	VCl_R	37/19/18
103	R	Occipital	VCs	SuperiorVisualCortex	VCs_R	19/39
104	R	Occipital	Cu	Cuneus	Cu_R	18/19
105	R	Occipital	VCrm	RostralMedialVisualCortex	VCrm_R	18/19
106	R	Temporal	ITCm	MedialInferiorTemporalCortex	ITCm_R	36/37/20
107	R	Temporal	ITCr	RostralInferiorTemporalCortex	ITCr_R	20
108	R	Temporal	MTCc	CaudalMiddleTemporalCortex	MTCc_R	21/22/39
109	R	Temporal	STCc	CaudalSuperiorTemporalCortex	STCc_R	22/41/42
110	R	Temporal	STCr	RostralSuperiorTemporalCortex	STCr_R	21/22/38
111	R	Temporal	MTCr	RostralMiddleTemporalCortex	MTCr_R	20/21/38
112	R	Parietal	ICC	IsthmusCingulateCortex	ICC_R	30
113	R	Parietal	IPCv	VentralInferiorParietalCortex	IPCv_R	40
114	R	Parietal	IPCd	DorsalInferiorParietalCortex	IPCd_R	39/40/7
115	R	Parietal	SPC	SuperiorParietalCortex	SPC_R	7
116	R	Parietal	SPCm	MedialSuperiorParietalCortex	SPCm_R	7
117	R	Parietal	PCm	MedialParietalCortex	PCm_R	31
118	R	Parietal	PCC	PosteriorCingulateCortex	PCC_R	23
119	R	Parietal	Sv	VentralSomatosensoryCortex	Sv_R	1/2/3
120	R	Parietal	Sdl	DorsolateralSomatosensoryCortex	Sdl_R	1/2/3
121	R	Parietal	Sdm	DorsomedialSomatosensoryCortex	Sdm_R	5/7/31
122	R	Frontal	Mv	VentralMotorCortex	Mv_R	4/6
123	R	Frontal	Mdl	DorsolateralMotorCortex	Mdl_R	4
124	R	Frontal	Mdm	DorsomedialMotorCortex	Mdm_R	4
125	R	Frontal	PMrv	RostralVentralPremotorCortex	PMrv_R	44/45
126	R	Frontal	PMdl	DorsolateralPremotorCortex	PMdl_R	6/8
127	R	Frontal	PMdm	DorsomedialPremotorCortex	PMdm_R	6
128	R	Frontal	PFcdl	CaudalDorsolateralPrefrontalCortex	PFcdl_R	45/46/9
129	R	Frontal	PFcdm	CaudalDorsomedialPrefrontalCortex	PFcdm_R	6/8
130	R	Frontal	MCC	MiddleCingulateCortex	MCC_R	24
131	R	Frontal	PFrvl	RostralVentrolateralPrefrontalCortex	PFrvl_R	47/45
132	R	Frontal	Pfrdli	RostralDorsolateralInferiorPrefrontalCortex	Pfrdli_R	10/46
133	R	Frontal	Pfrdls	RostralDorsolateralSuperiorPrefrontalCortex	Pfrdls_R	10/9
134	R	Frontal	PFrd	RostralDorsalPrefrontalCortex	PFrd_R	10/9/8
135	R	Frontal	PFrm	RostralMedialPrefrontalCortex	PFrm_R	9/8
136	R	Frontal	OFCvl	VentrolateralOrbitoFrontalCortex	OFCvl_R	11/47
137	R	Frontal	OFCv	VentralOrbitoFrontalCortex	OFCv_R	11/47
138	R	Frontal	OFCvm	VentromedialOrbitoFrontalCortex	OFCvm_R	10/11
139	R	Frontal	PFCvm	VentromedialPrefrontalCortex	PFCvm_R	32/10/11
140	R	Frontal	ACC	AnteriorCingulateCortex	ACC_R	24/32
141	R	Frontal	Insula	InsularCortex	Insula_R	13
210	L	Subcortical	Thal	Thalamus	Thal_L	NA
211	L	Subcortical	Cd	Caudate	Cd_L	NA
212	L	Subcortical	Put	Putamen	Put_L	NA
213	L	Subcortical	GP	Pallidum	GP_L	NA
217	L	Subcortical	Hipp	Hippocampus	Hipp_L	NA
218	L	Subcortical	Amyg	Amygdala	Amyg_L	NA
226	L	Subcortical	NAc	Accumbens	NAc_L	NA
249	R	Subcortical	Thal	Thalamus	Thal_R	NA
250	R	Subcortical	Cd	Caudate	Cd_R	NA
251	R	Subcortical	Put	Putamen	Put_R	NA
252	R	Subcortical	GP	Pallidum	GP_R	NA
253	R	Subcortical	Hipp	Hippocampus	Hipp_R	NA
254	R	Subcortical	Amyg	Amygdala	Amyg_R	NA
258	R	Subcortical	NAc	Accumbens	NAc_R	NA
0	NA	NA	WM	WhiteMatter	WM	NA
